Nr,Code,Label,Type,Format,Valid,Invalid,Question
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  20  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question pregnant NOR had recently been pre 277 i312o Did she die during labour or delivery?,discrete,numeric-12.0,122,22715,-
278,i313o,Did she die after delivering a baby?,discrete,numeric-12.0,125,22712,-
279,i314o,Did she die within 24 hours after delivery?,discrete,numeric-12.0,25,22812,-
280,i315o,Did she die within 6 weeks of childbirth?,discrete,numeric-12.0,122,22715,-
281,i316o,Did she give birth to a live baby (within 6 weeks of her death)?,discrete,numeric-12.0,125,22712,-
282,i317o,Did she die during or after a multiple pregnancy?,discrete,numeric-12.0,125,22712,-
283,i318o,Was she breastfeeding the child in the days before death?,discrete,numeric-12.0,119,22718,-
284,i319a,Did she die during or after her first pregnancy?,discrete,numeric-12.0,32,22805,-
285,i319b,Did she have four or more pregnancies before this one?,discrete,numeric-12.0,34,22803,-
286,i320o,Had she had any previous Caesarean section?,discrete,numeric-12.0,118,22719,-
287,i321o,"During pregnancy, did she suffer from high blood pressure?",discrete,numeric-12.0,6054,16783,-
288,i322o,Did she have foul smelling vaginal discharge during pregnancy or after delivery?,discrete,numeric-12.0,14429,8408,-
289,i323o,"During the last 3 months of pregnancy, did she suffer from convulsions?",discrete,numeric-12.0,9201,13636,-
290,i324o,During the last 3 months of pregnancy did she suffer from blurred vision?,discrete,numeric-12.0,121,22716,-
291,i325o,Did she have excessive bleeding during pregnancy or shortly after delivery?,discrete,numeric-12.0,8888,13949,-
292,i326o,Was there vaginal bleeding during the first 6 months of pregnancy?,discrete,numeric-12.0,0,22837,-
293,i327o,Was there vaginal bleeding during the last 3 months of pregnancy but before labou,discrete,numeric-12.0,0,22837,-
294,i328o,"Did she have excessive bleeding during labour, before delivery?",discrete,numeric-12.0,121,22716,-
295,i329o,Did she have excessive bleeding after delivery or abortion?,discrete,numeric-12.0,120,22717,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  21  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 296 i330o Was the placenta completely delivered?,discrete,numeric-12.0,145,22692,-
297,i331o,Did she deliver or try to deliver an abnormally positioned baby?,discrete,numeric-12.0,120,22717,-
298,i332a,Did her labour last longer than 24 hours?,discrete,numeric-12.0,4870,17967,-
299,i333o,Did she attempt to terminate the pregnancy?,discrete,numeric-12.0,122,22715,-
300,i334o,Did she recently have a pregnancy that ended in an abortion (spontaneous or induc,discrete,numeric-12.0,6319,16518,-
301,i335o,Did she die during an abortion?,discrete,numeric-12.0,2,22835,-
302,i336o,Did she die within 6 weeks of having an abortion?,discrete,numeric-12.0,2,22835,-
303,i337a,Did the mother deliver at a health facility or clinic?,discrete,numeric-12.0,35,22802,-
304,i337b,Did the mother deliver at home?,discrete,numeric-12.0,35,22802,-
305,i337c,Did the mother deliver elsewhere (not at a health facility nor at home)?,discrete,numeric-12.0,35,22802,-
306,i338o,Did she receive professional assistance during the delivery?,discrete,numeric-12.0,122,22715,-
307,i340o,Did she have an operation to remove her uterus shortly before death?,discrete,numeric-12.0,118,22719,-
308,i342o,"Was the delivery normal vaginal, without forceps or vacuum?",discrete,numeric-12.0,117,22720,-
309,i343o,"Was the delivery vaginal, with forceps or vacuum?",discrete,numeric-12.0,104,22733,-
310,i344o,Was the delivery a Caesarean section?,discrete,numeric-12.0,109,22728,-
311,i347o,Was her baby born more than one month early?,discrete,numeric-12.0,5018,17819,-
312,i354o,Was the child part of a multiple birth?,discrete,numeric-12.0,295,22542,-
313,i355a,"If the child was part of a multiple birth, was it born first?",discrete,numeric-12.0,5,22832,-
314,i356o,Is the child's mother still alive?,discrete,numeric-12.0,111,22726,-
315,i357o,Did the child's mother die during or shortly after the delivery?,discrete,numeric-12.0,0,22837,-
316,i358a,Did the child's mother die in the baby's first year of life?,discrete,numeric-12.0,0,22837,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  22  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 317 i360a Was the baby born in a health facility or clinic?,discrete,numeric-12.0,278,22559,-
318,i360b,Was the baby born at home?,discrete,numeric-12.0,276,22561,-
319,i360c,Was the baby born somewhere else (e.g. on the way to a clinic)?,discrete,numeric-12.0,278,22559,-
320,i361o,Did the mother receive professional assistance during the delivery?,discrete,numeric-12.0,276,22561,-
321,i362o,"At birth, was the baby of usual size?",discrete,numeric-12.0,263,22574,-
322,i363o,"At birth, was the baby smaller than normal (weighing under 2.5 kg)?",discrete,numeric-12.0,179,22658,-
323,i364o,"At birth, was the baby very much smaller than usual, (weighing under 1 kg)?",discrete,numeric-12.0,10,22827,-
324,i365o,"At birth, was the baby larger than normal (weighing over 4.5 kg)?",discrete,numeric-12.0,224,22613,-
325,i367a,Was the baby born during the ninth month (at least 37 weeks) of pregnancy?,discrete,numeric-12.0,258,22579,-
326,i367b,Was the baby born during the eighth month (34 to 37 weeks) of pregnancy?,discrete,numeric-12.0,5581,17256,-
327,i367c,Was the baby born before the eighth month (less than 34 weeks) of pregnancy?,discrete,numeric-12.0,8458,14379,-
328,i368o,Were there any complications in the late part of the pregnancy (defined as the la,discrete,numeric-12.0,104,22733,-
329,i369o,Were there any complications during labour or delivery?,discrete,numeric-12.0,16,22821,-
330,i370o,Was any part of the baby physically abnormal at time of delivery? (for example: b,discrete,numeric-12.0,9181,13656,-
331,i371o,Did the baby/child have a swelling or defect on the back?,discrete,numeric-12.0,6323,16514,-
332,i372o,Did the baby/child have a very large head?,discrete,numeric-12.0,6324,16513,-
333,i373o,Did the baby/child have a very small head?,discrete,numeric-12.0,6324,16513,-
334,i376o,Was the baby moving in the last few days before the birth?,discrete,numeric-12.0,33,22804,-
335,i377o,Did the baby stop moving in the womb before labour started?,discrete,numeric-12.0,32,22805,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  23  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 336 i382a Did labour and delivery take more than 24 hours?,discrete,numeric-12.0,6,22831,-
337,i383o,Was the baby born 24 hours or more after the waters broke?,discrete,numeric-12.0,168,22669,-
338,i384o,Was the liquor foul smelling when the waters broke?,discrete,numeric-12.0,33,22804,-
339,i385a,Was the liquor a green or brown colour when the waters broke?,discrete,numeric-12.0,29,22808,-
340,i387o,"Was the delivery normal vaginal, without forceps or vacuum?",discrete,numeric-12.0,139,22698,-
341,i388o,"Was the delivery vaginal, with forceps or vacuum?",discrete,numeric-12.0,119,22718,-
342,i389o,Was the delivery a Caesarean section?,discrete,numeric-12.0,115,22722,-
343,i391o,Did the child's mother receive any vaccinations since reaching adulthood includin,discrete,numeric-12.0,29,22808,-
344,i393o,Did the mother receive tetanus toxoid (TT) vaccine?,discrete,numeric-12.0,19,22818,-
345,i394a,Was this baby born from the mother's first pregnancy?,discrete,numeric-12.0,216,22621,-
346,i394b,Did the baby's mother have four or more births before this one?,discrete,numeric-12.0,216,22621,-
347,i395o,"During labour, did the baby's mother suffer from fever?",discrete,numeric-12.0,33,22804,-
348,i396o,"During the last 3 months of pregnancy, labour or delivery, did the baby's mother",discrete,numeric-12.0,33,22804,-
349,i397o,Did the baby's mother have diabetes mellitus?,discrete,numeric-12.0,33,22804,-
350,i398o,Did the baby's mother have foul smelling vaginal discharge during pregnancy or af,discrete,numeric-12.0,33,22804,-
351,i399o,"During the last 3 months of pregnancy, labour or delivery, did the baby's mother",discrete,numeric-12.0,33,22804,-
352,i400o,During the last 3 months of pregnancy did the baby's mother suffer from blurred v,discrete,numeric-12.0,33,22804,-
353,i401o,Did the baby's mother have severe anaemia?,discrete,numeric-12.0,32,22805,-
354,i402o,Did the baby's mother have vaginal bleeding during the last 3 months of pregnancy,discrete,numeric-12.0,33,22804,-
5,Verbal,"Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  24  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 355 i403o Did the baby's bottom, feet, arm or hand come out of the vagina before its head?",discrete,numeric-12.0,33,22804,-
356,i404o,Was the umbilical cord wrapped more than once around the baby's neck at birth?,discrete,numeric-12.0,31,22806,-
357,i405o,Was the umbilical cord delivered first?,discrete,numeric-12.0,32,22805,-
358,i406o,Was the baby blue in colour at birth?,discrete,numeric-12.0,31,22806,-
359,i408o,"Before the illness that led to death, was the baby/child growing normally?",discrete,numeric-12.0,4321,18516,-
360,i411o,Did (s)he drink alcohol?,discrete,numeric-12.0,21443,1394,-
361,i412o,Did (s)he use tobacco?,discrete,numeric-12.0,2824,20013,-
362,i413o,"Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?",discrete,numeric-12.0,21311,1526,-
363,i414a,Did (s)he use non-smoking tobacco?,discrete,numeric-12.0,307,22530,-
364,i415a,Did (s)he smoke at least 10 cigarettes daily?,discrete,numeric-12.0,7,22830,-
365,i418o,Did (s)he receive any treatment for the illness that led to death?,discrete,numeric-12.0,21488,1349,-
366,i419o,Did (s)he receive oral rehydration salts?,discrete,numeric-12.0,2074,20763,-
367,i420o,Did (s)he receive (or need) intravenous fluids (drip) treatment?,discrete,numeric-12.0,2081,20756,-
368,i421o,Did (s)he receive (or need) a blood transfusion?,discrete,numeric-12.0,2025,20812,-
369,i422o,Did (s)he receive (or need) treatment/food through a tube passed through the nose,discrete,numeric-12.0,2105,20732,-
370,i423o,Did (s)he receive (or need) injectable antibiotics?,discrete,numeric-12.0,1731,21106,-
371,i424o,Did (s)he receive (or need) antiretroviral therapy (ART)?,discrete,numeric-12.0,2031,20806,-
372,i425o,Did (s)he have (or need) an operation for the illness?,discrete,numeric-12.0,20277,2560,-
373,i426o,Did (s)he have the operation within 1 month before death?,discrete,numeric-12.0,73,22764,-
374,i427o,Was (s)he discharged from hospital very ill?,discrete,numeric-12.0,7136,15701,-
375,i428o,Did (s)he receive appropriate immunizations?,discrete,numeric-12.0,100,22737,-
376,i450o,"In the final days before death, did s/he travel to a hospital or health facility?",discrete,numeric-12.0,2951,19886,-
5,Verbal,Autopsy Input Indicator data:January 2000 Œ September 2021 - Variables List -  25  - File AHRI.VerbalAutopsy.InteVA05 Raw Data.2021 # Name Label Type Format Valid Invalid Question 377 i451o Did (s)he use motorised transport to get to the hospital or health facility?,discrete,numeric-12.0,1565,21272,-
378,i452o,Were there any problems during admission to the hospital or health facility?,discrete,numeric-12.0,1536,21301,-
379,i453o,"Were there any problems with the way (s)he was treated (medical treatment, proced",discrete,numeric-12.0,1529,21308,-
380,i454o,"Were there any problems getting medications, or diagnostic tests in the hospital",discrete,numeric-12.0,1538,21299,-
381,i455o,Does it take more than 2 hours to get to the nearest hospital or health facility,discrete,numeric-12.0,22400,437,-
382,i456o,"In the final days before death, were there any doubts about whether medical care",discrete,numeric-12.0,2926,19911,-
383,i457o,"In the final days before death, was traditional medicine used?",discrete,numeric-12.0,16940,5897,-
384,i458o,"In the final days before death, did anyone use a telephone or cell phone to call",discrete,numeric-12.0,2939,19898,-
385,i459o,"Over the course of illness, did the total costs of care and treatment prohibit ot",discrete,numeric-12.0,2947,19890,-
